ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
45389,-68.38595619,43.46749609,41.31,0.15
45389,-68.386,43.342,61.94,0.22
45389,-68.377,43.333,98.84,0.33
45389,-68.3542,43.321,105.38,0.33
45389,-68.351,43.3282,107.67,0.33
45389,-68.30549999,43.35329999,105.76,0.32
45389,-68.30680001,43.3333,105.59,0.32
45389,-68.28929999,43.37119999,104.93,0.31
45389,-68.26420001,43.3732,111.93,0.32
45389,-68.28650001,43.40070002,113.82,0.33
45389,-68.2272,43.4283,122.85,0.34
45389,-68.2372,43.40920002,132.45,0.36
45389,-68.20279998,43.42320001,131.14,0.33
45389,-68.1402,43.3525,126.67,0.32
45389,-68.1023,43.2917,117.27,0.28
45389,-68.04229999,43.28050002,128.8,0.3
45389,-67.90569998,43.40030003,150.76,0.33
45389,-67.60629991,43.59,92.35,0.19
45389,-67.31280002,43.47999996,69.43,0.14
45389,-67.29399996,43.494,81.29,0.15
45389,-67.24629998,43.51620002,73.19,0.13
45389,-67.25779996,43.58029998,72,0.12
45389,-67.2627,43.44020003,87.64,0.15
45389,-67.26666851,43.50150555,114.29,0.19
45389,-67.34080006,43.57480003,104.42,0.17
45389,-67.18869998,43.6755,115.84,0.19
45389,-66.66450003,44.06230006,85.91,0.16
45389,-66.71130002,44.34019995,115.53,0.24
45389,-66.86770029,44.37919996,60.81,0.14
45389,-66.9748001,44.4862999,78.25,0.2
45389,-67.04220017,44.49029982,105.64,0.28
45389,-67.2295001,44.44899992,130.15,0.36
45389,-67.40620006,44.44529999,139.25,0.41
45389,-67.84630006,44.25570003,180.54,0.56
45389,-68.08380007,44.12219997,173.65,0.56
45389,-68.37120003,43.98700002,192.2,0.64
66464,-67.05412397,44.23809901,186.19,0.52
66464,-67.89800003,44.10059998,209.27,0.69
66464,-68.1700196,44.01192746,123.15,0.42
66464,-68.3220347,43.92260815,110.26,0.37
66464,-68.47120001,43.83449999,112.36,0.38
66464,-68.59881044,43.71642559,110.44,0.38
66464,-68.72310001,43.57169999,135.49,0.48
66464,-68.81860002,43.32509998,113.88,0.42
66464,-68.99100003,43.21750001,96.63,0.36
66464,-69.20260004,43.27080002,59.88,0.22
66464,-69.28933423,43.33422035,81.56,0.28
66464,-69.3002,43.3659,28.22,0.09
66464,-69.17007576,43.41589608,28.07,0.09
66464,-68.98910482,43.4381404,98.21,0.3
66464,-68.77889089,43.37720244,102.11,0.31
66464,-68.76780172,43.32272089,113.6,0.34
66464,-68.82930665,43.32506454,131.44,0.38
66464,-68.83631797,43.3106791,129,0.36
66464,-68.89326541,43.25578498,137.71,0.37
66464,-68.98388973,43.2147381,157.27,0.39
66464,-69.02069149,43.24861532,163.92,0.4
66464,-69.04051872,43.31527916,144.7,0.36
66464,-68.98269949,43.35966887,120.2,0.29
66464,-68.78972407,43.36634226,101.53,0.24
66464,-68.77458547,43.19685448,121.42,0.29
66464,-68.89481963,43.17421936,116.37,0.29
66464,-68.87601466,43.07358021,116.51,0.29
66464,-68.98968547,43.03138969,89.62,0.22
66464,-68.96662384,43.09487088,97.71,0.23
66464,-68.9193702,43.10174038,93.68,0.22
66464,-68.8686583,43.07381058,129.07,0.29
66464,-68.95948264,43.03693917,140.65,0.31
66464,-69.09415903,43.00582497,158.35,0.34
66467,-66.56134382,44.79695546,40.99,0.07
66467,-66.58508,44.75665071,72.82,0.13
66467,-66.39504576,44.95352748,169.34,0.36
66467,-67.01011092,44.44706426,131.25,0.4
66467,-67.18016286,44.3973382,143.83,0.51
66467,-67.53678184,44.3247049,98.74,0.38
66467,-67.84856418,44.16947706,158.31,0.65
66467,-67.97362629,44.14280334,151.35,0.65
66467,-68.05700654,44.13413227,142.6,0.64
66467,-68.18428295,44.0758952,147.08,0.68
66467,-68.32338207,43.99574731,163.79,0.79
66467,-68.36693297,43.98157313,172.86,0.84
66467,-68.43831898,43.92621592,179.59,0.9
66467,-68.522947,43.77320839,192.23,1.04
66467,-68.62427529,43.74511845,182.22,1.03
66467,-68.75852655,43.79506816,154.73,0.9
66467,-68.85166537,43.77722604,149.17,0.88
66467,-69.01310627,43.66363643,135.63,0.87
66467,-69.13177957,43.48727018,123.23,0.88
66469,-66.17475652,44.86763311,102.5,0.12
75464,-66.54298055,44.81890221,80.42,0.12
75464,-66.60680431,44.76168937,107.18,0.16
75464,-66.55321006,44.65572048,99.5,0.15
75464,-66.52450395,44.57897546,155.4,0.24
75464,-66.4991255,44.60450306,173.77,0.27
75464,-66.42050853,44.53669358,205.67,0.35
75464,-67.22094459,44.33358177,163.88,0.42
75464,-67.49740626,44.13887643,201.66,0.53
75464,-67.62133321,44.07716281,203.83,0.53
75464,-67.84290573,43.9618638,220.59,0.57
75464,-68.13495477,43.68613725,210.99,0.57
75464,-68.47527219,43.42787155,179.68,0.49
75464,-68.71899095,43.44369147,188.4,0.5
75464,-68.75288008,43.53937796,188.91,0.48
75464,-68.64186159,43.58124947,170.83,0.43
75464,-68.5927449,43.71850079,221.61,0.54
75464,-68.48398888,43.67451256,198.93,0.47
75464,-68.42137907,43.44708029,84.83,0.2
75464,-68.26569917,43.27410235,103.89,0.23
75464,-68.07832144,43.16602035,138.93,0.3
75464,-67.92806527,43.09542324,155.74,0.32
75464,-67.76095597,42.91847883,178.38,0.37
75464,-67.67145981,42.86701427,174.41,0.34
75464,-67.65022122,42.87999621,191.6,0.36
75464,-67.41231282,42.90896762,177.62,0.34
75464,-67.21264049,42.92531696,181.21,0.33
75464,-66.95081724,43.05778672,154.53,0.28
75464,-66.99050649,43.02351768,169.17,0.3
75464,-67.03226264,43.05522519,209.55,0.37
75464,-67.091344,43.04212218,201.19,0.35
75464,-67.06832435,43.04001487,214.53,0.37
75464,-67.0473534,43.04550641,213.14,0.37
75464,-67.10743377,43.14475234,162.25,0.29
75464,-66.86091235,43.3477467,167.83,0.31
75464,-67.05777722,43.94588665,180.11,0.41
75464,-67.08364487,44.04812836,154.44,0.39
75464,-67.28418415,44.17048946,67.56,0.2
75464,-67.31093027,44.35817144,48.11,0.15
75464,-67.40643678,44.44615881,21.88,0.07
75464,-67.53456866,44.40007702,18.66,0.06
75464,-67.59715901,44.37140488,16.72,0.05
75464,-67.76930009,44.26259997,5.09,0.02
75464,-68.01760176,44.2062868,36.53,0.12
75464,-68.15429852,44.01900361,48.35,0.16
75464,-68.2494218,43.91354716,39.58,0.13
75464,-68.36770667,43.80438761,56.37,0.18
75464,-68.5021418,43.77882637,76.53,0.23
75464,-68.53451746,43.66606059,75.36,0.22
75464,-68.45106859,43.60140226,69.84,0.19
75464,-68.37732071,43.58075995,60.37,0.16
75464,-68.31332117,43.63216011,39.26,0.1
75464,-68.43073063,43.64408257,87.82,0.22
75464,-68.55299999,43.54939984,121.2,0.3
75466,-66.39280932,44.7062992,136.73,0.27
75466,-66.32238612,44.72175913,140.51,0.28
75466,-66.32109098,44.84361634,151.95,0.32
75466,-66.34004326,44.87894562,187.91,0.39
75466,-66.35936292,44.89870097,204.01,0.43
75466,-66.43054698,44.87551491,166.04,0.36
75466,-66.61624564,44.73620695,54.5,0.12
75466,-67.15678015,44.46238279,106.36,0.31
75466,-67.28295909,44.41386427,112.23,0.34
75466,-67.51239599,44.32681496,108.87,0.34
75466,-67.74520488,44.26953941,33.28,0.1
75466,-67.96317608,44.12676832,99.89,0.32
75466,-68.12233394,43.95132963,114.1,0.37
75466,-68.17203797,43.80666525,148.79,0.48
75466,-68.37996113,43.507574,106.5,0.37
75466,-68.59750719,43.47472252,86.22,0.3
75466,-68.60758588,43.51735186,78.6,0.27
75466,-68.55538295,43.44670784,116.62,0.39
75466,-68.65983488,43.32465223,123.67,0.41
75466,-68.85917308,43.32714873,93.93,0.33
75466,-68.88004892,43.39135655,114.55,0.4
75466,-68.76168565,43.39007498,65.85,0.23
75466,-68.59854551,43.37659009,95.03,0.34
75466,-68.55685287,43.21100421,103.06,0.37
75466,-68.73365949,43.12310686,88.28,0.33
75466,-68.92791254,43.18122338,70.86,0.27
75466,-68.93632403,43.26186052,74.28,0.29
75466,-68.88870391,43.3010563,64.84,0.26
75466,-68.76049487,43.28883986,39.99,0.15
75466,-68.68831606,43.15202912,65.05,0.25
75466,-68.7568252,43.02869998,60.64,0.22
75466,-68.93146668,43.08690515,74.84,0.26
75466,-69.07573435,43.29695969,94.3,0.32
75466,-69.0689542,43.48646495,117.74,0.39
75466,-69.02705483,43.54221392,89.27,0.3
75466,-68.93661239,43.54188189,78.13,0.25
75466,-68.80903499,43.47250338,60.83,0.2
75466,-68.77715885,43.3754064,101.78,0.31
75466,-68.77445065,43.28399401,110.76,0.34
75466,-68.84322148,43.23140246,121.23,0.36
75466,-68.84683603,43.1834573,116.54,0.35
75466,-68.84809829,43.15612406,125.01,0.36
75466,-68.88871162,43.1335141,133.94,0.38
75466,-68.85982522,43.28535771,140.25,0.41
75466,-68.71496453,43.25586791,120.26,0.36
75466,-68.67969823,43.15831786,152.78,0.48
75466,-68.50845244,43.18196643,133.35,0.42
75466,-68.18590025,43.25291689,82.77,0.27
75466,-68.06807382,43.34357659,91.69,0.29
75466,-68.01625643,43.38335305,105.93,0.3
75466,-67.9629547,43.44018218,77.94,0.21
75466,-68.02656426,43.49710635,95.84,0.24
75466,-67.92334293,43.56921048,90.45,0.22
75466,-67.82785537,43.67468207,72.43,0.18
75466,-67.82029459,43.62347519,63.94,0.15
75466,-67.9198404,43.65770614,50.79,0.11
75466,-67.98963873,43.72096653,68.74,0.15
75466,-67.82285884,43.73272329,73.29,0.14
75466,-67.70816346,43.76388191,61.1,0.11
75466,-67.57975805,43.80267983,45.19,0.08
75466,-67.47956413,43.85431308,42.36,0.07
75466,-67.25306263,43.8653314,51.86,0.09
75466,-67.22553662,43.94347048,74.51,0.12
75467,-65.95088231,44.99873811,149.19,0.18
75467,-65.83597443,45.01708683,48.93,0.07
75467,-66.14902539,44.96146625,228.44,0.42
76464,-66.55798311,44.76353602,104.6,0.15
76464,-66.56668657,44.7036696,92.02,0.13
76464,-66.20911676,44.86866459,212.02,0.36
76464,-66.25122888,44.89512201,209.56,0.37
76464,-66.31554558,44.91849164,188.57,0.35
76464,-66.34922884,44.93689095,207.79,0.4
76464,-66.32686472,44.96340428,234.19,0.47
76464,-66.6650965,44.50323086,97.17,0.24
76464,-67.0384455,44.51597436,43.58,0.12
76464,-67.218655,44.52243367,57.71,0.17
76464,-67.28621197,44.50997903,47.72,0.15
76464,-67.40639144,44.4370507,60.75,0.2
76464,-67.6085441,44.2770925,68.35,0.23
76464,-67.78629727,44.1232322,73.94,0.25
76464,-68.09714012,44.06533169,39.13,0.14
76464,-68.12623267,44.0693274,55.75,0.19
76464,-68.07820873,43.97208175,54.18,0.19
76464,-68.06826264,43.84807348,44.83,0.15
76464,-68.1124251,43.8197734,26.06,0.08
76464,-68.13185246,43.83386975,16.82,0.05
76464,-68.10659982,43.73884705,9.32,0.03
76465,-66.50577971,44.74186498,22.1,0.03
76465,-66.5062888,44.67676746,75.84,0.09
76465,-66.12369154,44.8719918,150.01,0.22
76465,-66.05900399,44.88701115,159.08,0.24
76465,-65.99742367,45.02397812,88.16,0.15
76465,-65.93470409,45.047394,90.54,0.16
76465,-66.8882612,44.45374383,74.3,0.13
76465,-67.15435556,44.42544423,54.2,0.1
76465,-67.23097156,44.45825089,52.07,0.09
76465,-67.10438078,44.49835699,39.09,0.07
76465,-67.03444394,44.58226461,31.23,0.06
76465,-67.00641404,44.55163433,35.69,0.07
76465,-67.01906333,44.646421,35.18,0.07
76466,-66.40254841,44.71250152,119.34,0.22
76466,-66.39061375,44.7445041,80.65,0.15
76466,-66.44088954,44.74546828,71.32,0.13
76466,-66.451108,44.68874859,42.28,0.08
76466,-66.3061028,44.6820341,57.62,0.11
76466,-66.30470059,44.76866036,65.16,0.12
76466,-66.34314774,44.78149048,79.85,0.16
76467,-66.13183752,44.95676356,71.52,0.09
76467,-66.18051035,44.97779807,122.89,0.16
76467,-66.18200914,44.98715971,94.67,0.13
